IDBMd;IDGG;IDM;BMshareGG
G23-HEV-NMC111;Iprinc;3;0
G23-HEV-NMC111;Iprinc;8;0
G23-HEV-NMC111;Iprinc;66;0
G23-HEV-NMC111;Iprinc;15;0
G23-HEV-NMC111;Iprinc;68;0
G23-HEV-NMC111;Iprinc;11;0
G23-HEV-NMC111;Iprinc;85;0
G23-HEV-NMC111;Iprinc;86;0
G23-HEV-NMC111;Iprinc;87;0
G23-HEV-NMC111;Iprinc;88;0
G23-HEV-NMC111;Iprinc;89;0
G23-HEV-NMC111;Iprinc;90;0
G23-HEV-NMC111;Iprinc;91;0
G23-HEV-NMC111;Iprinc;92;0.114
G23-HEV-NMC111;Iprinc;93;0
G23-HEV-NMC111;Iprinc;94;0
G23-HEV-NMC111;Iprinc;95;0
G23-HEV-NMC111;Iprinc;96;0
G23-HEV-NMC111;Iprinc;97;0
G23-HEV-NMC111;Iprinc;98;0
G23-HEV-NMC111;Iprinc;99;0
G23-HEV-NMC111;Iprinc;100;0
G23-PHEV50-NMC111;Iprinc;41;0.2715
G23-PHEV50-NMC111;Iprinc;22;0.1525
G23-PHEV50-NMC111;Iprinc;43;0
G23-PHEV50-NMC111;Iprinc;44;0.0087
G23-PHEV50-NMC111;Iprinc;6;0.0703
G23-PHEV50-NMC111;Iprinc;4;0
G23-PHEV50-NMC111;Iprinc;4a;0.1151
G23-PHEV50-NMC111;Iprinc;4b;0
G23-PHEV50-NMC111;Iprinc;5;0
G23-PHEV50-NMC111;Iprinc;48;0.0101
G23-PHEV50-NMC111;Iprinc;49;0.0281
G23-PHEV50-NMC111;Iprinc;50;0.0281
G23-PHEV50-NMC111;Iprinc;37;0.0153
G23-PHEV50-NMC111;Iprinc;52;0
G23-PHEV50-NMC111;Iprinc;10;0.0002
G23-PHEV50-NMC111;Iprinc;26;0.0028
G23-PHEV50-NMC111;Iprinc;1;0.1665
G23-PHEV50-NMC111;Iprinc;2;0.0611
G23-PHEV50-NMC111;Iprinc;35;0.0004
G23-PHEV50-NMC111;Iprinc;58;0.0036
G23-PHEV50-NMC111;Iprinc;59;0.0267
G23-PHEV50-NMC111;Iprinc;60;0.03899999999999992
G23-PHEV50-NMC111;Iprinc;3;0
G23-PHEV50-NMC111;Iprinc;8;0
G23-PHEV50-NMC111;Iprinc;66;0
G23-PHEV50-NMC111;Iprinc;15;0
G23-PHEV50-NMC111;Iprinc;68;0
G23-PHEV50-NMC111;Iprinc;11;0
G23-PHEV50-NMC111;Iprinc;85;0
G23-PHEV50-NMC111;Iprinc;86;0
G23-PHEV50-NMC111;Iprinc;87;0
G23-PHEV50-NMC111;Iprinc;88;0
G23-PHEV50-NMC111;Iprinc;89;0
G23-PHEV50-NMC111;Iprinc;90;0
G23-PHEV50-NMC111;Iprinc;91;0
G23-PHEV50-NMC111;Iprinc;92;0.2715
G23-PHEV50-NMC111;Iprinc;93;0
G23-PHEV50-NMC111;Iprinc;94;0
G23-PHEV50-NMC111;Iprinc;95;0
G23-PHEV50-NMC111;Iprinc;96;0
G23-PHEV50-NMC111;Iprinc;97;0
G23-PHEV50-NMC111;Iprinc;98;0
G23-PHEV50-NMC111;Iprinc;99;0
G23-PHEV50-NMC111;Iprinc;100;0
G23-BEV150-NMC111;Iprinc;41;0.2413
G23-BEV150-NMC111;Iprinc;22;0.1373
G23-BEV150-NMC111;Iprinc;43;0
G23-BEV150-NMC111;Iprinc;44;0.0077
G23-BEV150-NMC111;Iprinc;6;0.0815
G23-BEV150-NMC111;Iprinc;4;0
G23-BEV150-NMC111;Iprinc;4a;0.1281
G23-BEV150-NMC111;Iprinc;4b;0
G23-BEV150-NMC111;Iprinc;5;0
G23-BEV150-NMC111;Iprinc;48;0.009
G23-BEV150-NMC111;Iprinc;49;0.0252
G23-BEV150-NMC111;Iprinc;50;0.0252
G23-BEV150-NMC111;Iprinc;37;0.0162
G23-BEV150-NMC111;Iprinc;52;0
G23-BEV150-NMC111;Iprinc;10;0.0003
G23-BEV150-NMC111;Iprinc;26;0.0025
G23-BEV150-NMC111;Iprinc;1;0.2003
G23-BEV150-NMC111;Iprinc;2;0.0738
G23-BEV150-NMC111;Iprinc;35;0.0001
G23-BEV150-NMC111;Iprinc;58;0.0042
G23-BEV150-NMC111;Iprinc;59;0.0269
G23-BEV150-NMC111;Iprinc;60;0.02040000000000008
G23-BEV150-NMC111;Iprinc;3;0
G23-BEV150-NMC111;Iprinc;8;0
G23-BEV150-NMC111;Iprinc;66;0
G23-BEV150-NMC111;Iprinc;15;0
G23-BEV150-NMC111;Iprinc;68;0
G23-BEV150-NMC111;Iprinc;11;0
G23-BEV150-NMC111;Iprinc;85;0
G23-BEV150-NMC111;Iprinc;86;0
G23-BEV150-NMC111;Iprinc;87;0
G23-BEV150-NMC111;Iprinc;88;0
G23-BEV150-NMC111;Iprinc;89;0
G23-BEV150-NMC111;Iprinc;90;0
G23-BEV150-NMC111;Iprinc;91;0
G23-BEV150-NMC111;Iprinc;92;0.2413
G23-BEV150-NMC111;Iprinc;93;0
G23-BEV150-NMC111;Iprinc;94;0
G23-BEV150-NMC111;Iprinc;95;0
G23-BEV150-NMC111;Iprinc;96;0
G23-BEV150-NMC111;Iprinc;97;0
G23-BEV150-NMC111;Iprinc;98;0
