IDV;IDVP;GC;GCText;IsCalculated
9;5;1.324538559120461;;0
9;6;18.24670965695861;;0
9;7;4.493223214757651;;0
9;8;1.833832126433744;;0
9;9;8.239817082460485;;1
9;10;6;;0
9;11;7;;0
9;12;5;;0
9;13;4;;0
9;14;1;;0
9;15;82.81541731358803;;1
9;16;682.3838902715964;;1
9;17;16000;;0
9;18;3.312616692543521;;1
9;19;43;;0
9;20;0;;0
9;21;0;;0
9;22;3;;0
9;23;0;;0
9;24;61.80308578597431;;0
9;26;33;;0
9;27;1.644216871927692;;0
9;28;13.54804626857954;;1
9;29;1;;0
9;31;61.80308578597431;;0
9;32;0;PBP-HEV-NMC811;0
9;33;0.3865957446808511;;1
9;34;6.72340425531915;;1
9;35;23.89280997300326;;1
9;36;0;;1
9;37;82.81541731358803;;1
9;41;1;;0
9;42;82.81541731358803;;1
10;2;79.09976480075191;;0
10;3;79.09976480075191;;0
10;4;0.72;;0
10;5;22;;0
10;6;15;;0
10;7;4.110078747677573;;0
10;8;1.734553597154468;;0
10;9;7.129151876372264;;1
10;10;6;;0
10;11;7;;0
10;12;5;;0
10;13;4;;0
10;14;1;;0
10;15;79.09976480075191;;1
10;16;563.9142366498852;;1
10;17;14000;;0
10;18;3.163990592030077;;1
10;19;46.81806451132152;;0
10;20;0;;0
10;21;0;;0
10;22;5;;0
10;23;0;;0
10;24;0;;0
10;26;43;;0
10;27;1.483960496378504;;0
10;28;10.57937975721913;;1
10;29;1;;0
10;31;0;;0
10;32;0;PBP-BEV-LFP;0
10;33;0;;1
10;34;8.638297872340425;;1
10;35;190.0425531914894;;1
10;36;0;;1
10;37;79.09976480075191;;1
10;41;1;;0
10;42;79.09976480075191;;1
11;2;173.6034987212276;;0
11;3;111.9062890025575;;0
11;4;0.96;;0
11;5;22.268968456948;;0
11;6;19.08184143222507;;0
11;7;4.886564364876386;;0
11;8;1.88070673486786;;0
11;9;9.190194511388306;;1
11;10;6;;0
11;11;10;;0
11;12;5;;0
11;13;4;;0
11;14;1.086786018755328;;0
11;15;173.6034987212276;;1
