IDVMR;IDGG;IDM;MshareGG
PBP_BISD2;B;14;0.001545824699899898
PBP_BISD2;B;3;0
PBP_BISD2;B;40;8.713931513693046e-05
PBP_BISD2;B;4a;0.003013629002210502
PBP_BISD2;B;4b;0
PBP_BISD2;B;5;0.03719969765082422
PBP_BISD2;B;6;0
PBP_BISD2;B;7;0
PBP_BISD2;B;8;0.001005332926880653
PBP_BISD2;C;1;0
PBP_BISD2;C;10;0
PBP_BISD2;C;14;0
PBP_BISD2;C;15;0
PBP_BISD2;C;2;0
PBP_BISD2;C;23;0
PBP_BISD2;C;24;0
PBP_BISD2;C;25;0
PBP_BISD2;C;26;0
PBP_BISD2;C;27;0
PBP_BISD2;C;28;0
PBP_BISD2;C;30;0
PBP_BISD2;C;31;0
PBP_BISD2;C;32;0
PBP_BISD2;C;33;0
PBP_BISD2;C;34;0
PBP_BISD2;C;40;0
PBP_BISD2;C;5;0
PBP_BISD2;C;6;0
PBP_BISD2;C;7;0
PBP_BISD2;D;1;0.4235772445250729
PBP_BISD2;D;10;0.1900033934493583
PBP_BISD2;D;11;0.022191507429111
PBP_BISD2;D;12;0
PBP_BISD2;D;14;0.02483202414119764
PBP_BISD2;D;15;0
PBP_BISD2;D;16;0
PBP_BISD2;D;17;0
PBP_BISD2;D;18;0
PBP_BISD2;D;19;0
PBP_BISD2;D;2;0
PBP_BISD2;D;20;2e-05
PBP_BISD2;D;21;0
PBP_BISD2;D;22;0
PBP_BISD2;D;3;0
PBP_BISD2;D;40;3.930609427271747e-05
PBP_BISD2;D;4a;0.04842131457195406
PBP_BISD2;D;4b;0
PBP_BISD2;D;5;0.2232940399118986
PBP_BISD2;D;6;0.06762116987713457
PBP_BISD2;D;8;0
PBP_BISD2;E;1;0.3
PBP_BISD2;E;10;0.05
PBP_BISD2;E;11;0.05
PBP_BISD2;E;12;0
PBP_BISD2;E;3;0.3
PBP_BISD2;E;40;0
PBP_BISD2;E;4a;0.3
PBP_BISD2;E;4b;0
PBP_BISD2;E;5;0
PBP_BISD2;E;6;0
PBP_BISD2;E;8;0
PBP_BISD2;F;1;0
PBP_BISD2;F;40;0
PBP_BISD2;F;5;0
PBP_BISD2;F;6;0
PBP_BISD2;G;1;0
PBP_BISD2;G;10;0
PBP_BISD2;G;11;0
PBP_BISD2;G;14;0
PBP_BISD2;G;15;0
PBP_BISD2;G;26;0
PBP_BISD2;G;31;0
PBP_BISD2;G;32;0
PBP_BISD2;G;35;0
PBP_BISD2;G;36;0
PBP_BISD2;G;37;0
PBP_BISD2;G;38;0
PBP_BISD2;G;39;0
PBP_BISD2;G;40;0
PBP_BISD2;G;5;0
PBP_BISD2;G;6;0
PBP_BISD2;G;7;0
PBP_BISD2;H;1;0
PBP_BISD2;H;10;0
PBP_BISD2;H;11;0
PBP_BISD2;H;12;0
PBP_BISD2;H;14;0
PBP_BISD2;H;15;0
PBP_BISD2;H;2;0
PBP_BISD2;H;21;0
PBP_BISD2;H;40;0
PBP_BISD2;H;4a;0
PBP_BISD2;H;4b;0
PBP_BISD2;H;6;0
PBP_BISD2;Iaux;10;0.061
PBP_BISD2;Iaux;29;0.021
PBP_BISD2;Iaux;37;0
PBP_BISD2;Iaux;72;0.69
PBP_BISD2;Iaux;73;0.079
PBP_BISD2;Iaux;75;0.141
PBP_BISD2;Iaux;76;0.008000000000000118
PBP_BISD2;Iaux;84;1
PBP_BISD2s;A;1;0.8023187755160879
PBP_BISD2s;A;10;0.1107508954661997
PBP_BISD2s;A;11;0.01767786775125285
PBP_BISD2s;A;12;0
PBP_BISD2s;A;14;0.008491106795336958
PBP_BISD2s;A;40;0.008556485308896628
PBP_BISD2s;A;4a;0.006139829427055256
PBP_BISD2s;A;4b;0
PBP_BISD2s;A;5;0.001646079589322836
PBP_BISD2s;A;6;0
PBP_BISD2s;A;7;0
PBP_BISD2s;A;8;0
PBP_BISD2s;A;9;0.04441896014584783
PBP_BISD2s;B;1;0.8148789052097072
PBP_BISD2s;B;10;0.05072927966751107
PBP_BISD2s;B;11;0.09154019152782944
PBP_BISD2s;B;14;0.001545824699899898
PBP_BISD2s;B;3;0
PBP_BISD2s;B;40;8.713931513693046e-05
PBP_BISD2s;B;4a;0.003013629002210502
PBP_BISD2s;B;4b;0
PBP_BISD2s;B;5;0.03719969765082422
PBP_BISD2s;B;6;0
PBP_BISD2s;B;7;0
PBP_BISD2s;B;8;0.001005332926880653
PBP_BISD2s;C;1;0
